location_name	location_code	latitude	longitude	type
Bislev	BIJ	56.94312	9.64362	grassland
Bjerre	BJJ	57.07966	8.72279	grassland
Broensvig	BRS	55.10656	12.18023	grassland
Dyngby_Strand	DSJ	55.95679	10.26509	grassland
Doestrup	DoeJ	56.6812	9.77195	grassland
Fem_Hoeje	FHJ	54.90083	9.8457	grassland
Fur	FUR	56.81595	8.97772	grassland
Faarup	FaaJ	56.35783	9.52772	grassland
Gerding	GEJ	56.8913	9.9733	grassland
Glenstrup_Soe	GSJ	56.5907	9.88035	grassland
Gurede	GUS	55.76332	11.66386	grassland
Goedvad	GoeJ	56.17712	9.60772	grassland
Havelse	HAS	55.87471	12.06882	grassland
Hedeland	HES	55.63216	12.18087	grassland
Hylkedam	HYF	55.38705	9.9398	grassland
Haesum	HaeJ	56.91598	9.76965	grassland
Hoernhaven	HHJ	56.11294	10.2284	grassland
Jegindoe	JoeJ	56.65914	8.64069	grassland
Jelling	JEJ	55.73996	9.44363	grassland
Jernhatten	JHJ	56.2444	10.78965	grassland
Jyllinge	JYS	55.77859	12.08789	grassland
Kaloe	KoeJ	56.27286	10.47089	grassland
Klejtrup	KLJ	56.6019	9.60631	grassland
Kongskilde	KOS	55.38213	11.5455	grassland
Korsoer	KRS	55.33371	11.20181	grassland
Koerup	KRJ	55.87073	9.73982	grassland
Lendrup	LEJ	56.93891	9.21262	grassland
Lille_Vildmose	LVJ	56.8457	10.21079	grassland
Moesgaard_Strand	MSJ	56.08914	10.2459	grassland
Mogenstrup	MOS	55.62261	11.64145	grassland
Mullerup_Strand	MSS	55.49213	11.17662	grassland
Myrdeskov	MYS	55.51377	11.7704	grassland
Nysted	NYS	54.65932	11.71937	grassland
Noerre_Onsild	NOJ	56.61473	9.7569	grassland
Oroe	ORoe	55.78919	11.79884	grassland
Regnemark	RES	55.46261	11.98196	grassland
Ry	RYJ	56.07268	9.74455	grassland
Rydal	RDJ	57.418	10.39409	grassland
Røde_Moelle	RMJ	56.82065	9.79811	grassland
Skindbjerg	SBJ	56.88102	9.9036	grassland
Skjaerskovhede	SHJ	56.13168	9.44901	grassland
Skovly	SKS	55.81278	12.23668	grassland
Skaerum	SKJ	57.43705	10.31079	grassland
Stenhøj	STJ	57.37591	10.38443	grassland
Stokkebaek	STF	55.18238	10.76786	grassland
Stubbegaard_Soe	SSJ	56.42535	8.93164	grassland
Suldrup	SUJ	56.83133	9.62192	grassland
Tolstrup	TOJ	56.97876	9.28965	grassland
Torrild	TRJ	55.98987	10.05355	grassland
Ulstrup	ULJ	56.40102	9.82159	grassland
Uth	UTJ	55.8148	9.862	grassland
Vandel	VAJ	55.72766	9.23006	grassland
Vigersdal	VIS	55.47538	11.8802	grassland
Aeroe	aeRoe	54.85255	10.43511	grassland
Aarsted	aaRJ	57.44272	10.42473	grassland
Blaahoej	CA_BLJ	55.86462	9.05633	conservation_agriculture
Bredvadmoelle	CA_BMJ	55.94643	9.68895	conservation_agriculture
Dalby	CA_DAS	55.30464	12.0522	conservation_agriculture
Fladstrup	CA_FSJ	56.36565	10.7921	conservation_agriculture
Flemming	CA_FLJ	55.87311	9.67327	conservation_agriculture
Hvam	CA_HVJ	56.40989	8.71012	conservation_agriculture
Hylstrup	CA_HYS	55.41319	11.63891	conservation_agriculture
Jerslev	CA_JES	55.60011	11.22778	conservation_agriculture
Knebel	CA_KNJ	56.17798	10.41961	conservation_agriculture
Lerchenborg	CA_LES	55.65644	11.05971	conservation_agriculture
Moerke	CA_MoeJ	56.31838	10.40138	conservation_agriculture
Roedkilde	CA_RoeF	55.07807	10.39897	conservation_agriculture
Sterup	CA_STJ	57.32768	10.05826	conservation_agriculture
Toerring	CA_ToeJ	55.78957	9.49527	conservation_agriculture
Yding	CA_YDJ	56.00361	9.77879	conservation_agriculture
Blaahoej	K_BLJ	55.88688	9.15778	conventional_agriculture
Bredvadmoelle	K_BMJ	55.98318	9.63386	conventional_agriculture
Dalby	K_DAS	55.2678	12.13562	conventional_agriculture
Fladstrup	K_FSJ	56.37318	10.87891	conventional_agriculture
Flemming	K_FLJ	55.82331	9.66785	conventional_agriculture
Hvam	K_HVJ	56.46201	8.64794	conventional_agriculture
Hylstrup	K_HYS	55.36418	11.66137	conventional_agriculture
Jerslev	K_JES	55.65152	11.19078	conventional_agriculture
Knebel	K_KNJ	56.18542	10.51088	conventional_agriculture
Lerchenborg	K_LES	55.68158	11.13807	conventional_agriculture
Moerke	K_MoeJ	56.35042	10.31964	conventional_agriculture
Roedkilde	K_RoeF	55.0496	10.47804	conventional_agriculture
Sterup	K_STJ	57.26793	10.02731	conventional_agriculture
Toerring	K_ToeJ	55.83575	9.45805	conventional_agriculture
Yding	K_YDJ	55.96917	9.86514	conventional_agriculture
